id,match_id,minute,type,description,player_id,player_name,team_side
1,1,23,goal,希门尼斯点球破门,,希门尼斯,home
2,1,67,goal,洛萨诺锁定胜局,,洛萨诺,home
3,2,34,goal,曹圭成破门,,曹圭成,home
4,2,78,goal,孙兴慜反超比分,,孙兴慜,home
5,2,89,goal,希克扳回一球,,希克,away
6,3,45+1,yellow_card,科瓦契奇黄牌,,科瓦契奇,away
7,3,67,goal,阿方索·戴维斯破门,,阿方索·戴维斯,home
8,3,82,goal,德米罗维奇扳平,,德米罗维奇,away
9,4,12,goal,普利希奇破门,,普利希奇,home
10,4,56,goal,巴洛贡扩大比分,,巴洛贡,home
11,4,78,goal,雷纳锁定胜局,,雷纳,home
12,4,89,goal,阿尔米隆扳回一球,,阿尔米隆,away
13,5,34,yellow_card,布迪亚夫黄牌,,布迪亚夫,home
14,5,67,goal,恩博洛破门,,恩博洛,away
15,5,82,goal,阿里扳平比分,,阿里,home
16,6,23,yellow_card,卡塞米罗黄牌,,卡塞米罗,home
17,6,45+1,goal,维尼修斯破门,,维尼修斯,home
18,6,78,goal,齐耶赫扳平,,齐耶赫,away
19,7,56,goal,麦克托米奈破门,,麦克托米奈,away
20,7,78,yellow_card,恩佐黄牌,,恩佐,home
21,8,23,goal,穆伊破门,,穆伊,home
22,8,67,goal,博伊尔锁定胜局,,博伊尔,home
23,9,8,goal,哈弗茨破门,,哈弗茨,home
24,9,23,goal,穆西亚拉扩大比分,,穆西亚拉,home
25,9,45+1,goal,萨内破门,,萨内,home
26,9,56,goal,维尔茨破门,,维尔茨,home
27,9,78,goal,京多安点球破门,,京多安,home
28,9,85,goal,库拉索扳回一球,,未知球员,away
29,9,89,goal,穆科科破门,,穆科科,home
30,10,18,goal,德佩破门,,德佩,home
31,10,34,goal,三笘薰扳平,,三笘薰,away
32,10,56,goal,加克波反超,,加克波,home
33,10,78,goal,久保建英扳平,,久保建英,away
34,11,45+1,yellow_card,凯西黄牌,,凯西,home
35,11,67,goal,阿莱破门,,阿莱,home
36,12,12,goal,伊萨克破门,,伊萨克,home
37,12,34,goal,福斯贝里扩大比分,,福斯贝里,home
38,12,56,goal,伊萨克梅开二度,,伊萨克,home
39,12,78,goal,库卢塞夫斯基破门,,库卢塞夫斯基,home
40,12,89,goal,姆萨克尼扳回一球,,姆萨克尼,away
41,13,34,yellow_card,罗德里黄牌,,罗德里,home
42,13,67,yellow_card,佛得角球员黄牌,,未知球员,away
43,14,23,goal,卢卡库破门,,卢卡库,home
44,14,56,goal,萨拉赫扳平,,萨拉赫,away
45,14,78,yellow_card,费尔通亨黄牌,,费尔通亨,home
46,15,34,goal,谢赫里破门,,谢赫里,home
47,15,67,goal,努涅斯扳平,,努涅斯,away
48,16,23,goal,塔雷米破门,,塔雷米,home
49,16,45+1,goal,阿兹蒙扩大比分,,阿兹蒙,home
50,16,67,goal,伍德扳回一球,,伍德,away
51,16,89,goal,克里斯·伍德扳平,,克里斯·伍德,away
52,17,18,goal,姆巴佩破门,,姆巴佩,home
53,17,45+1,goal,登贝莱扩大比分,,登贝莱,home
54,17,67,goal,马内扳回一球,,马内,away
55,17,82,goal,格列兹曼锁定胜局,,格列兹曼,home
56,18,23,goal,哈兰德破门,,哈兰德,away
57,18,45+1,goal,厄德高扩大比分,,厄德高,away
58,18,67,goal,哈兰德梅开二度,,哈兰德,away
59,18,78,goal,奥涅库鲁扳回一球,,奥涅库鲁,home
60,18,89,goal,哈兰德戴帽,,哈兰德,away
61,19,18,goal,梅西破门,,梅西,home
62,19,45+1,goal,阿尔瓦雷斯扩大比分,,阿尔瓦雷斯,home
63,19,67,goal,劳塔罗锁定胜局,,劳塔罗,home
64,20,23,goal,阿拉巴破门,,阿拉巴,home
65,20,56,goal,萨比策扩大比分,,萨比策,home
66,20,78,goal,鲍姆加特纳破门,,鲍姆加特纳,home
67,20,89,goal,塔马里扳回一球,,塔马里,away
68,21,34,goal,B费破门,,B费,home
69,21,67,goal,瓦曼吉图卡扳平,,瓦曼吉图卡,away
70,21,78,yellow_card,佩佩黄牌,,佩佩,home
71,22,12,goal,凯恩破门,,凯恩,home
72,22,28,goal,贝林厄姆扩大比分,,贝林厄姆,home
73,22,45+1,goal,帕尔默破门,,帕尔默,home
74,22,56,goal,莫德里奇扳回一球,,莫德里奇,away
75,22,78,goal,佩里西奇扳回一球,,佩里西奇,away
76,22,89,goal,萨卡锁定胜局,,萨卡,home
77,23,67,goal,库杜斯破门,,库杜斯,home
78,23,78,yellow_card,阿马泰黄牌,,阿马泰,home
79,24,23,goal,马什乌尔破门,,马什乌尔,home
80,24,45+1,goal,穆尼尔扩大比分,,穆尼尔,home
81,24,67,goal,肖穆罗多夫扳回一球,,肖穆罗多夫,away
82,24,82,goal,詹姆斯·罗德里格斯锁定胜局,,J罗,home
83,25,34,goal,希克破门,,希克,home
84,25,67,goal,福斯特扳平,,福斯特,away
85,26,18,goal,恩博洛破门,,恩博洛,home
86,26,45+1,goal,沙奇里扩大比分,,沙奇里,home
87,26,67,goal,巴尔加斯破门,,巴尔加斯,home
88,26,82,goal,德米罗维奇扳回一球,,德米罗维奇,away
89,27,12,goal,阿方索·戴维斯破门,,阿方索·戴维斯,home
90,27,23,goal,戴维扩大比分,,戴维,home
91,27,34,goal,布坎南破门,,布坎南,home
92,27,45+1,goal,欧斯塔基奥破门,,欧斯塔基奥,home
93,27,67,goal,科内破门,,科内,home
94,27,78,goal,米利亚破门,,米利亚,home
