id,match_id,player_id,number,name,team_side,rating
1,89,61,1,维多利亚,home,6.5
2,89,62,2,约翰斯顿,home,6.0
3,89,63,4,米勒,home,5.5
4,89,57,12,布坎南,home,6.0
5,89,58,7,欧斯塔基奥,home,6.5
6,89,59,8,科内,home,6.0
7,89,64,6,皮耶特,home,5.5
8,89,67,17,科尔多瓦,home,5.5
9,89,55,19,阿方索·戴维斯,home,7.0
10,89,56,20,戴维,home,5.5
11,89,60,9,拉林,home,5.0
12,89,124,1,布努,away,7.5
13,89,125,2,阿什拉夫,away,8.0
14,89,132,5,阿格尔德,away,7.5
15,89,127,6,赛斯,away,7.0
16,89,126,3,马兹拉维,away,7.0
17,89,128,4,阿姆拉巴特,away,7.5
18,89,134,8,奥纳西,away,7.5
19,89,129,7,齐耶赫,away,8.5
20,89,130,19,恩内斯里,away,8.0
21,89,131,17,鲍法尔,away,7.5
22,89,135,11,穆尼尔,away,7.0
23,90,174,1,达米安·马丁内斯,home,6.5
24,90,175,2,古斯塔沃·戈麦斯,home,6.0
25,90,176,4,阿尔德雷特,home,6.0
26,90,177,8,比利亚桑蒂,home,6.0
27,90,178,11,恩西索,home,6.5
28,90,179,9,萨纳夫里亚,home,6.0
29,90,180,6,冈萨雷斯,home,5.5
30,90,181,13,阿萨门迪亚,home,5.5
31,90,182,19,佩雷斯,home,5.5
32,90,173,10,阿尔米隆,home,6.5
33,90,394,1,洛里,away,7.5
34,90,395,25,孔德,away,7.5
35,90,396,2,于帕梅卡诺,away,7.5
36,90,397,22,特奥,away,7.0
37,90,398,8,楚阿梅尼,away,8.0
38,90,399,14,拉比奥特,away,7.5
39,90,400,7,格列兹曼,away,8.0
40,90,401,10,姆巴佩,away,8.5
41,90,402,11,登贝莱,away,7.5
42,90,403,20,科曼,away,7.0
43,90,404,12,马库斯·图拉姆,away,7.0
44,91,108,1,阿利松,home,6.5
45,91,109,4,马尔基尼奥斯,home,6.5
46,91,110,3,蒂亚戈·席尔瓦,home,6.0
47,91,111,14,米利唐,home,6.0
48,91,112,5,卡塞米罗,home,6.5
49,91,113,8,恩佐·费尔南德斯,home,7.0
50,91,114,7,维尼修斯,home,8.0
51,91,115,10,罗德里戈,home,6.5
52,91,116,11,拉菲尼亚,home,6.5
53,91,117,9,理查利森,home,6.0
54,91,118,17,帕奎塔,home,6.0
55,91,429,9,哈兰德,away,8.5
56,91,430,10,厄德高,away,9.0
57,91,432,4,阿热,away,7.5
58,91,433,3,梅林,away,7.0
59,91,434,8,贝格,away,7.5
60,91,435,11,埃尔尤努西,away,7.0
61,91,436,7,索尔洛特,away,7.0
62,91,437,6,奥斯内斯,away,7.0
63,91,438,2,赖恩斯,away,6.5
64,91,431,1,索尔斯韦特,away,7.0
65,91,439,17,努萨,away,7.5
66,92,1,13,奥乔亚,home,7.0
67,92,3,3,蒙特斯,home,6.5
68,92,4,4,阿尔瓦雷斯,home,6.0
69,92,5,2,阿劳霍,home,6.0
70,92,7,16,埃雷拉,home,6.5
71,92,8,24,查韦斯,home,6.5
72,92,9,17,皮内达,home,6.5
73,92,10,8,安图尼亚,home,6.5
74,92,11,22,洛萨诺,home,7.5
75,92,12,9,希门尼斯,home,8.0
76,92,13,11,马丁,home,6.5
77,92,527,1,皮克福德,away,7.5
78,92,528,2,凯尔·沃克,away,7.5
79,92,529,5,马奎尔,away,7.0
80,92,530,4,斯通斯,away,7.5
81,92,531,41,赖斯,away,8.0
82,92,532,10,贝林厄姆,away,8.5
83,92,533,9,凯恩,away,8.5
84,92,534,7,萨卡,away,8.0
85,92,535,20,帕尔默,away,7.5
86,92,536,11,福登,away,7.5
87,92,537,17,格拉利什,away,7.0
88,93,492,22,科斯塔,home,6.5
89,93,489,3,佩佩,home,6.5
90,93,490,4,迪亚斯,home,6.5
91,93,491,20,坎塞洛,home,5.5
92,93,488,13,内维斯,home,6.5
93,93,484,8,B费,home,7.0
94,93,485,10,B席,home,7.0
95,93,486,15,莱奥,home,6.5
96,93,487,11,菲利克斯,home,6.0
97,93,483,7,C罗,home,6.0
98,93,493,23,维蒂尼亚,home,6.0
99,93,348,23,乌奈·西蒙,away,7.5
100,93,349,2,卡瓦哈尔,away,7.5
101,93,350,14,拉波尔特,away,7.5
102,93,351,4,纳乔,away,7.0
103,93,352,16,罗德里,away,8.5
104,93,353,26,佩德里,away,8.0
105,93,354,9,加维,away,7.5
106,93,355,19,亚马尔,away,8.0
107,93,356,7,莫拉塔,away,8.0
